Item,SKU,UPC,Unit Cost,Case Size
Colgate/Toothbrush/Extra Clean Full Head Soft/24/3/pk,35000-55005,035000550057,1.4729,24
Colgate/Toothbrush/Extra Clean Full Head Medium/12/6/pk,35000-55539,035000555397,3.0508,12
Colgate/Toothbrush/Extra Clean Adult Full Head Medium 42MM/72/1/ct,35000-55114,035000551146,0.4721,72
Colgate/Toothbrush/Extra CleanAdult Full Head Soft 42MM/72/1/ct,35000-55676,035000556769,0.4721,72
Colgate/Toothbrush/Extra Clean Adult Full Head Firm 42MM/72/1/ct,35000-55677,035000556776,0.4721,72
Oral B/Toothbrush/Kids Avengers Stages 4/14/8/ct,987176-124951,4987176124951,6.3014,14
Toms of Main/Toothbrush/Naturally Clean Soft 2pk/24/1/ct,77326-46937,077326469378,2.0829,24
Oral B/Toothbrush/Cavity Defense Charcoal Medium/72/4/ct,87176-20243,4987176202437,1.5779,72
Oral B/Toothbrush/Cavity Defense Bacteria Fighter Soft/36/6/ct,87176-23154,4987176231543,1.5781,36
Oral B/Toothbrush Battery/Raya & the Last Dragon Soft/24/1/ct,69055-12996,069055129968,2.3142,24
Colgate/Toothbrush Tray Display/Super Flexi Medium/10/12/ct,901314-200044,8901314200044,3.787,10
Hello/Toothbrush Starter Kit/1 Handle 2 Refills Soft/24/3/ct,19156-02242,819156022428,1.315,24
Oral B/Battery Toothbrush/Kids Disney Encanto Soft/24/1/ct,69055-13746,069055137468,2.3142,24
Colgate/Battery Powered Toothbrush/Kids Batman Extra Soft/12/1/ct,27854-01641,035000974976,2.08,12
Colgate/Toothbrush/Kids Dinosaur Extra Soft/72/1/ct,35000-99404,035000994042,0.3682,72
Hello/Brush Head Refills/Soft/24/2/ct,19156-02243,819156022435,1.315,24
Colgate/Toothpaste/Optic White Fresh Mint Gel/24/4.2/oz,35000-45830,035000458308,2.3142,24
Colgate/Optic White/Advanced Sparkling White/24/1.45/oz,35000-97271,035000972712,1.0413,24
Colgate//Baking Soda And Peroxide Whitening 5pk/8/8/oz,35000-76160,035000761606,9.7313,8
Toms of Maine/Toothpaste/Antiplaque & Whitening Peppermint 4pk/10/4.5/oz,27854-01372,827854020615,9.457,10
Ultra Brite/Toothpaste/Baking Soda & Peroxide Whitening Paste/24/6/oz,35000-56755,035000566874,1.6213,24
"Hello/Mixed Case/Toothpaste 4 Antiplaque Crushed Tartar Peppermint 4.7oz, Activated Charcoal 4oz, Kids Watermelon 4.2oz, Deo Unicorn Shea Butter 2.6oz/16/1/ct",27854-02535,819156020240020035023050854296004675,2.0831,16
Crest/Toothpaste/Baking Soda & Peroxide (Fresh Mint)/24/8.2/oz,37000-92793,037000320258,2.5775,24
Crest/Toothpaste/Pro Health Clean Mint Paste/12/2.6/oz,30772-05722,030772057223,1.21,12
Colgate/Toothpaste/Baking Soda & Peroxide Whitening Oxy Bubbles Brisk Mint Paste Travel Size/24/2.5/oz,35000-51106,035000511065,0.8542,24
Crest/Toothpaste/Tartar Protection Whitening (Cool Mint Paste)/24/8.2/oz,37000-92792,037000728283,2.5775,24
Colgate/Toothpaste/Kids Unicorn Bubble Fruit/6/4.4/oz,35000-97209,035000972095,0.8317,6
Hello/Toothpaste/Epic Whitening Activated Charcoal Fresh Mint 2pk/6/4/oz,27854-02193,827854021933,4.1967,6
Colgate/Toothpaste/Optic White Advanced Sparkling White/24/0.75/oz,35000-97276,035000972767,0.4208,24
Colgate/Toothpaste/Max Fresh Clean Mint/24/1.9/oz,27854-02464,827854024644,0.5154,24
Arm & Hammer/Toothpaste/Peroxicare Deep Clean /12/6.0/oz,33200-18732,033200187707,2.0933,12
"Colgate/Gift Set/Unicorn Academy 1 Manual Toothbrush, 1 Battery Toothbrush, 1 Toothpaste 4.6oz/6/1/ct",27854-02527,827854025276024231018759021667,3.6717,6
"Colgate/Display/6 360 Optic White Toothbrush Soft 1ct, 18 Optic White Toothpaste Fresh Mint Gel 4.2oz & 18 Optic White Toothpaste Clean Mint Paste 4.2oz/42/1/ct",27854-01325,035000680457458308458360,1.8371,42
Colgate/Toothpaste/Optic White High Impact White/24/4.1/oz,35000-97652,035000976529,2.49,24
Colgate/MaxFresh/Watermelon Blast & Citrus Fresh 4pk/8/4.8/oz,27854-02365,827854023654023081023135,5.26,8
Crest/Mouthwash/Scope Plus Strong Mint/6/33.8/oz,56100-08503,056100081333,3.6717,6
Crest/Toothpaste Kids/Frozen Bubblegum/6/4.2/oz,30772-01287,03077201287180361759,1.2617,6
Hello/Toothpaste/Super Fresh/12/4.7/oz,19156-02323,819156023234,2.0825,12
"Colgate/Toothpaste Display/Optic White 14 Advanced Sparkling White 3.2oz, 14 Advanced Icy Fresh 3.2oz & 8 Sensitivity Relief 3.8oz/36/1/ct",27854-03025,035000971623971593827854025665,2.6194,36
Colgate/Toothpaste/Great Regular Flavor Cavity Protection Travel Size/24/2.5/oz,35000-51105,035000511058,0.8542,24
Colgate/Toothpaste/Optic White Advanced Stain Prevention/24/3.2/oz,35000-99530,035000995308,2.49,24
Colgate/Max Fresh/Cool Mint/24/6.3/oz,35000-99667,035000996671,2.0829,24
"Colgate/Gift Set/Bluey 1 Manual Toothbrush, 1 Battery Toothbrush, 1 Toothpaste 4.6oz/6/1/ct",27854-02503,827854025030004318004813004257,3.6717,6
